deu	yid
Erstsprache	מאַמע־לשון
Erstsprache	מוטערשפּראַך
Nabel	פּופּיק
Nabel	נאָפּל
Nächte	נאַכט
Nadel	שפּילקע
Nähmaschine	ניימאַשין
Naivität	נאַיִווקייט
Namensvetter	נאָמען־ברודער
Namensvetter	חבֿר צום נאָמען
Neapel	נאפאלי
nehmen	פֿאַרנעמען
nein	ניט
nein	נישט
nein	נײן
nicht…	ניט
nicht…	נישט
nicht…	נײן
nennen	אָנרופֿן
nennen	אַ נאָמען געבן טאָן
Neologismus	נעאָלאָגיזם
Neptun	נעפּטון
New Hampshire	ניו העמפשער
New York	ניו יאָרק
New York City	ניו יאָרק
nie	קיינמאָל
niemals	קיינמאָל
nimmer	קיינמאָל
Nigeria	ניגעריע
Norden	צפֿון
Nord	צפֿון
Nordsee	צפֿון־ים
Nordſee	צפֿון־ים
Norweger	נאָרװעגער
November	נאוועמבער
Null	נול
null	נול
Zero	נול
zero	נול
Objekt	אָביעקט
Öl	ייל
Orthodoxie	אָרטאָדאָקסיע
Rechtgläubigkeit	אָרטאָדאָקסיע
Strenggläubigkeit	אָרטאָדאָקסיע
Neuorthodoxie	אָרטאָדאָקסיע
Schriftgläubigkeit	אָרטאָדאָקסיע
Hochorthodoxie	אָרטאָדאָקסיע
vernünftige Orthodoxie	אָרטאָדאָקסיע
Ösophagus	װשט
Ösophagus	שפּײַזרער
Ösophagus	יסאַפאַגאַס
Speiseröhre	װשט
Speiseröhre	שפּײַזרער
Speiseröhre	יסאַפאַגאַס
Osten	מזרח
Ostermond	אַפּריל
-s/-e	אַפּריל
April -s	אַפּריל
Österreich	עסטרײַך
Österreich	עסטרייך
Oxygen	זויערשטאף
Sauerstoff	זויערשטאף
Ozean	אקעאן
Pakistan	פאַקיסטאַן
Palästina	דאס בריטישע מאנדאט
Paraguay	פאראגוויי
Partizip	פּאַרטיציפּ
Peking	בייזשינג
Beijing	בייזשינג
Perestroika	פּערעסטרויקע
Umbau	פּערעסטרויקע
Umgestaltung	פּערעסטרויקע
Periodensystem	פּעריאָדישע סיסטעם
Periodensystem	פּעריאָדישע טאַבעלע
Personenverkehr	פֿאַרקער
Personenverkehr	אומגאַנג
Verkehr	פֿאַרקער
Verkehr	אומגאַנג
Philippinen	פֿיליפּינען
Phosphor	פֿאָספֿאָר
Pinsel	פּענדזל
Plakat	אַפֿיש
Plakat	פּלאַקאַט
Politik	פּאָליטיק
Praktik	פּאָליטיק
Politiker	פּאָליטיקאַנט
politisch	פּאָליטיש
Polynom	פֿילגליד
Polynom	פאָלינאָם
präzise	דווקא
Prinzessin	פּרינצעסין
Prinzessin	בת־מלכּה
purpurfarbig	פּורפּעלן
purpurn	פּורפּעלן
purpurfarben	פּורפּעלן
Quatsch	שמאָנצעס
Quelle	קוואַל
Quelle	קוואַל
Rarität	אַנטיק
Seltenheit	אַנטיק
Ratte	שטשור
Ratte	ראַץ
Ratz	שטשור
Ratz	ראַץ
Ratze	שטשור
Ratze	ראַץ
Rättin	שטשור
Rättin	ראַץ
Rattenweibchen	שטשור
Rattenweibchen	ראַץ
Rattenmännchen	שטשור
Rattenmännchen	ראַץ
Rauminhalt	אומפֿאַנג
Rauminhalt	פֿאַרנעם
Volumen	אומפֿאַנג
Volumen	פֿאַרנעם
-e	אומפֿאַנג
-e	פֿאַרנעם
Inhalt -s	אומפֿאַנג
Inhalt -s	פֿאַרנעם
Fassungsvermögen -s	אומפֿאַנג
Fassungsvermögen -s	פֿאַרנעם
Recht	גערעכט
reden	רעדן
sprechen	רעדן
Regenbogen	regn-boygn
Regenbogen	רעגן־בויגן
Regierung	רעגירונג
Regieren	רעגירונג
Reibe	ריב אייזן
Küchenreibe	ריב אייזן
reiben	אָנרײַבן
rein	ריין
sauber	ריין
Reis	רײַז
Reiskorn	רײַז
Reispflanze	רײַז
Religion	רעליגיע
Revolution	רעוואָלוציע
riesengroß	מעכטיק
riesig	מעכטיק
Ring	פֿינגערל
Ritter	ריטער
Robbe	ים־הונט
Seehund	ים־הונט
Rose	רויז
Rosine	ראָזשינקע
rot	רויט
Rumänien	ראמעניע
Rumänien	רומעניע
Salomonen	סאלאמאן אינזלען
Salzburg	זאלצבורג
Sammlung	זאַמלונג
Samoa	סאַמאאַ
Sand	זאַמד
Schakal	שאַקאַל
Schakalin	שאַקאַל
Scheiding	סעפּטעמבער
September	סעפּטעמבער
Schicksal	לאָז
Schinken	שינקען
schließen	שליסן
zumachen	שליסן
Schmetterling	פֿלאַטערל
Schmuckanhänger	טשאַטשקע
Schund	טשאַטשקע
Schmuckgegenstand	טשאַטשקע
Schnürsenkel	שוכבענדל
Schottland	שאָטלאַנד
Schublade	שופֿלאָד
Schusterjunge	yosem
Waise	yosem
Waisenkind	yosem
Vollwaise	yosem
Schwangerschaft	שוואַנגערשאַפֿט
Schwangerschaft	טראָגעדיקייט
Schwanz	עק
schwarz	שוואַרץ
schwarzes Loch	שװאַרצע לאָך
ſchwarzes Loch	שװאַרצע לאָך
Schwefel	שוועבל
Schwefel	שװעבל
Schwein	חזיר
Schweiz	שווייץ
Schweiz	שװײץ
Schwimmbecken	שווים באסיין
schwitzen	שוויצן
Schwung	מאַך
Schwung	הײב
Schwenken	מאַך
Schwenken	הײב
Schwingen	מאַך
Schwingen	הײב
sechste	זעקסט
Seele	נשמה
Seepferdchen	ים־פֿערדל
Seezunge	ים־צונג
sehen	זען
Sehne	שפּאַנאָדער
sehr	זייער
Seife	זייף
Sekunde	סעקונדע
Selbständigkeit	אומאָפּהענגיקײט
Selbständigkeit	זעלבשטענדיקײט
Unabhängigkeit	אומאָפּהענגיקײט
Unabhängigkeit	זעלבשטענדיקײט
Selbstmörder	זעלבסטמערדער
Selbstmörder	אַלײנמערדער
Selbstmörderin	זעלבסטמערדער
Selbstmörderin	אַלײנמערדער
Sellerie	סעלערי
Sicherung	זיכער־פּראָפּן
Silbe	ארויסזאג
Silber	זילבער
Sintflut	מבול וואסער
Socke	זאָק
sofort	באַלד
Sommer	זומער
Sommer	זומער
Sonnenblume	זונרויז
Soziologie	סאָציאָלאָגיע
Gesellschaftswissenschaft	סאָציאָלאָגיע
Gesellschaftslehre	סאָציאָלאָגיע
Spanien	שפּאַניע
Spannung	וואָלטאַזש
Spinne	שפּין
Spinnengewebe	נעץ
spotten	שפּאָטן
verarschen	שפּאָטן
verhöhnen	שפּאָטן
verspotten	שפּאָטן
spotten	שפּאָטן
spotten	שפּעטן פֿון
spotten	אָנלאַכן זיך
spotten	אָפּשפּאָטן
spotten	חוזק מאַכן
spotten	טרײַבן לצנות
spotten	אױסלאַכן זיך פֿון
verhöhnen	שפּאָטן
verhöhnen	שפּעטן פֿון
verhöhnen	אָנלאַכן זיך
verhöhnen	אָפּשפּאָטן
verhöhnen	חוזק מאַכן
verhöhnen	טרײַבן לצנות
verhöhnen	אױסלאַכן זיך פֿון
verspotten	שפּאָטן
verspotten	שפּעטן פֿון
verspotten	אָנלאַכן זיך
verspotten	אָפּשפּאָטן
verspotten	חוזק מאַכן
verspotten	טרײַבן לצנות
verspotten	אױסלאַכן זיך פֿון
Sprachwissenschaft	שפּראַך־וויסנשאַפֿט
Springer	זקן
Springer	ריטער
Springer	לאַפֿער
Springer	שפּרינגער
Spritze	שפּריץ
Sprühregen	רעגנדל
Stadt	סיטי
stark	שטאַרק
Staub	שטויב
Stein	שטײן
Steinzeit	שטיין עפאכע
Stickstoff	אַזאט
Sturm	שטורם
Subtraktion	חיסור
Subtraktion	אראפנעם
Südamerika	דרום־אַמעריקע
Südasien	דרום־אַזיע
sudetendeutsches Gebiet	Sudetnland
Sudetendeutschland	Sudetnland
Sudetengebiet	Sudetnland
Sudetengebiete	Sudetnland
Sudetenland	Sudetnland
Sudetenraum	Sudetnland
Syrien	סירייע
Tag	טאָג
Tanne	טענענבוים
Tannenbaum	טענענבוים
Tasche	קעשענע
Taschenmesser	מעסערל
Taube	טויב
tausend	טויזנט
Teddybär	בער
teilen	שיידן
Testament	צוואה
letzter Wille	צוואה
Themse	טעמז
Themſe	טעמז
Tor	טויער
tragen	טראגן
trocken	פֿאַרטריקנט
trocken	טרוקן
trocknen	טריקענען
Tropfen	טראָפּן
Tuch	געוועב
Stoff	געוועב
Turm	טורם
Typografie	טיפּאָגראַפֿיע
Typographie	טיפּאָגראַפֿיע
Übelkeit	ניטגוטקײַט
Überarbeitung	יבעראַרבעטונג
Wiederholung	יבעראַרבעטונג
überzeugen	איבעררעדן
U-Boot	סובמארין
Unterseeboot	סובמארין
Tauchboot	סובמארין
Uboot	סובמארין
Uganda	אוגאַנדע
Uhr	זייגער
unausbleiblich	אומפֿאַרמײַדלעך
unumgänglich	אומפֿאַרמײַדלעך
unvermeidlich	אומפֿאַרמײַדלעך
unbeständig	פֿאַרענדערלעך
unbeständig	בײַטעװדיק
veränderlich	פֿאַרענדערלעך
veränderlich	בײַטעװדיק
ungefähr	קעגן
näherungsweise	קעגן
Unglück	שלעכטס
Unglück	צרה
Uranus	אוראַנוס
Uruguay	אורוגוויי
Vaterunser	אונדזער פאָטער
Vatikanstadt	וואַטיקאַן שטאָט
verabscheuen	פֿײַנט האָבן
Verb	װערב
Verb	ווערב
Verb	צייטווארט
Zeitwort	װערב
Zeitwort	ווערב
Zeitwort	צייטווארט
Tätigkeitswort	װערב
Tätigkeitswort	ווערב
Tätigkeitswort	צייטווארט
verdammen	פֿאַרדאַמען
verurteilen	פֿאַרדאַמען
Vereinigte Staaten	פֿאַראייניגטע שטאַטן
Vereinte Nationen	פאראייניגטע פעלקער
vergesslich	קורץ
vergeßlich	קורץ
verkaufen	פֿאַרקויפֿן
verlegen machen	פֿאַרשעמען
vermittels	פֿאַרגאַנגענהייט
vorüber	פֿאַרגאַנגענהייט
mal	פֿאַרגאַנגענהייט
viele	אַ סך
viele	פֿיל
vielleicht	אפֿשר
Volk	פאלק
Volk	שטאַט
Volk	מלוכה
Volk	לאַנד
vor	פֿאַר
vor	ערבֿ
vorgestern	אייערנעכטן
Vorsehung	השגחה פרטית
Wächter	היטער
Wächter	סטרוזש
Wächter	סטראָזש
Waffe	וואָפֿן
Wahrheit	אמת
Wald	װאַלד
Wales	וויילז
Wand	װאַנט
Wange	באק
Wanze	וואַנץ
Wassermelone	קאַווענע
Wecker	וועקער
Wecker	וועקזייגער
Weg	וועג
weich	ווײך
Wein	ווײַן
weinrot	וויין
weinrot	װײַן
weiter	לאָמיר
los	לאָמיר
welche	וואָסער
welche	וואָסערע
welcher	וואָסער
welcher	וואָסערע
welches	וואָסער
welches	וואָסערע
Whiskey	שנאַפּס
Whiskey	וויסקיי
Whiskey	בראָנפֿן
Whisky	שנאַפּס
Whisky	וויסקיי
Whisky	בראָנפֿן
Wiesel	וויזעלע
wieviel	וויפֿל
wie viele	װיפֿל
Wissenschaft	װיסנשאַפֿט
Woche	וואָך
wohnen	וווינען
wohnen	וווינען
Wolfram	טונגשטײן
Wolke	וואָלקן
Wolke	וואָלקןס
Gewölk	וואָלקן
Gewölk	וואָלקןס
wunderbar	אַ מחיה
wunderbar	נסימדיק
wunderbar	וווּנדערלעך
wundervoll	אַ מחיה
wundervoll	נסימדיק
wundervoll	וווּנדערלעך
Zahnbürste	ציינבערשטל
Zahnfleisch	יאַסלע
Zahnfleisch	ציינפֿלייש
Ziffer	ציפֿער
Zionismus	ציוניזם
Zug	באן
Zwilling	tsviling
Zwilling	tsviling
eineiiger Zwilling	tsviling
zweieiiger Zwilling	tsviling
-e	זונטיק
Sonntag -s	זונטיק
So.	זונטיק
-en	מילך
Nein	ניט
neun	נײַן
alt	אַלט
Arm	אָרעם
Dampflokomotive	לאָקאָמאָטיװ
Dauphin	דעלפין
Denguefieber	דענג היץ
Eriwan	יערעואן
Eriwan	יערעוואן
fasten	פֿאַסטן
französischsprachig	פֿראַנצייזיש־שפּראַכיק
französischsprachig	פֿראַנצייזיש־שפּראַכיק
Grau	גרוי
hässlich	מיאוס
Heute	הײַנט
Hitler	היטלער
Jericho	יריחו
McDonald’s	מעקדאונעלד’ס
Barry Blue	מעקדאונעלד’ס
Morgen	מאָרגן
muhen	מוקען
Nomina	סובסטאנטיוו
-e	סובסטאנטיוו
-wörter	סובסטאנטיוו
Substantiv -s	סובסטאנטיוו
Nomen -s	סובסטאנטיוו
Hauptwort - s	סובסטאנטיוו
Posen	פּױזן
Poznań	פּױזן
Schutzstaffel	עס.עס.
Schwarzes Loch	שוואַרצע לאָך
Schweizer Franken	שווייצער פֿראַנק
Stalin	סטאלין
Übersetzen	איבערזעצונג
Übersetzen	איבערזעץ
Weiden	ערבה
Weltgesundheitsorganisation	װעלט געזונט אָרגאַניזאַציע
Weltgeſundheitsorganiſation	װעלט געזונט אָרגאַניזאַציע
wenig	ווייניק
Schas	ש"ס פארטיי
Auge des Sturmes	אױג
Abschreiben	איבערשרײַבן
Abschreiben	איבערשרײַבונג
-n	שטים
-e	פֿלאַטערל
-e	זומער־פֿייגעלע
Falter -s	פֿלאַטערל
Falter -s	זומער־פֿייגעלע
Schmetterling -s	פֿלאַטערל
Schmetterling -s	זומער־פֿייגעלע
-n	פֿלאַש
-e	משל
-e	דוגמא
-e	בײַשפּיל
Beispiel -s	משל
Beispiel -s	דוגמא
Beispiel -s	בײַשפּיל
Wurstwarenhandlung	יאַטקע
-n	יאַשטשערקע
Chassidismus	חסידות
Sand - s	זאַמד
Fünftes Buch Moſe	דבֿרים
Fünftes Buch Mose	דבֿרים
Tachykardie	טאַטשיקאַרדיאַ
Dattelpalme	טײטלבױם
Napoléon Bonaparte	נאפאליאן באנאפארטע
Nicotin	ניקאטין
Weißes Haus	ווייסע הויז
Oberstes Gericht	סופרים קארט
natürliche Auslese	נאַטירלעכע סעלעקציע
natürliche Zuchtwahl	נאַטירלעכע סעלעקציע
natürliche Selektion	נאַטירלעכע סעלעקציע
letzte Woche	last week
Heiliges Land	ארץ ישׂראל
Paul Martin	פאול מארטין
Bronx	בראנקס
Bruce Willis	ברוס וויליס
2. Buch Mose	ספר שמות
David Letterman	דעיוויד לעטערמאן
Zweiter Punischer Krieg	צווייטע פונישע מלחמה
Russischer Rubel	רוסישער רובל
Die lustige Witwe	די לוסטיגע אלמנה
Hollywood	האליוואד
Roter Halbmond	רױטע האַלבע לבֿנה
Kim Campbell	קים קעמפבעל
Las Vegas	לאס וועגאס
United States Air Force	יו.עס. עיר פארס
Zeitalter der Aufklärung	אױפֿקלערונג
Ku-Klux-Klan	קו קלוקס קלען
Buch der Richter	ספר שופטים
Wikimedia	וויקימעדיע פונדאציע
Warren G. Harding	ווארן גמליאל הארדינג
Indische Rupie	אינדישער רופי
John F. Kennedy	זשאן עף. קענעדי
Jona	יונה
Verlorene Stämme Israels	עשרת השבטים
Moshe Teitelbaum	משה טייטלבוים
Curitiba	קוריטיבא
Konservatives Judentum	מסורתי
Abraham Isaak Kook	אברהם יצחק הכהן קוק
Zebulon	זבולן
Sebulon	זבולן
Goliath	גלית
Family Guy	משפחה מענטש
Shlomo Carlebach	שלמה קארליבאך
Raúl Castro	ראאול קאסטרא
Carlos Slim Helú	קארלאס סלים
Elasar ha-Qallir	רבי אלעזר הקליר
Bill O’Reilly	ביל אוריילי
Rachel	רחל
Rahel	רחל
Joint Advanced Strike Technology	דזשאוינט סטרייק פייטער
Yeshiva University	ישיבה אוניווערסיטעט
Hermon	הר חרמון
Senat der Vereinigten Staaten	סענאט
Alex Jacobowitz	אלעקס יאקאבאוויטס
Palästinensische Befreiungsorganisation	פי.על.או.
Bet Schemesch	בית שמש
C-SPAN	C-SPAN
Ghetto Litzmannstadt	לאדזשער געטא
Michael Chertoff	מייקל טשערטאף
Netiwot	נתיבות
Wikipedia:Kritik	קריטיק אויף וויקיפעדיע
Ela	אלה
Portable Document Format	PDF
Rehabeam	רחבעם
Rzeszów	ריישע
Dönme	דענמע
Adar	אדר
Moshe Chaim Luzzatto	רמח"ל
Fox News Channel	Fox News
Kfar Saba	כפר סבא
MediaWiki	מעדיעוויקי
Tevet	טבת
Raub-	רױבעריש
Räuber-	רױבעריש
sich behandeln lassen	הײלן זיך
sich behandeln lassen	דאָקטערן
sich behandeln lassen	קורירן זיך
Ketschup	קעטשאָפּ
AM	לבה״ע
Rückgeld	אויסגאָב
Rückgeld	זדאַטשע
Rückgeld	רעשט
Sek.	סעקונדע
Saurier -s	דינאָזאַווער
Dino -s	דינאָזאַווער
Dinosaurier -s	דינאָזאַווער
Namensvetterin	נאָמען־שוועסטער
wie Gott in Frankreich	ווי גאָט אין פֿראַנקרײַך
Lodzer	לאָדזשער
Sep	סעפּ
,	.
Belize-Dollar	בעליז דאלאַר
₹	₹
Esra – Nehemia	עזרא - נחמיה
Das Evangelium nach Markus	די גוטע בשׂורה לױט מאַרקוס
Das Evangelium nach Lukas	די גוטע בשׂורה לױט לוקאַס
Der Brief des Judas	יהודהס בריװ
Ausdruck	אויסדרוק
Balinesisch	באַלינעזיש
Baskisch	באַסקיש
Bedeutung	באַדײַטונג
Birmanisch	בירמאַניש
Bulgarisch	בולגאַריש
Englisch	ענגליש
Französisch	פֿראַנצויזיש
Georgisch	גרוזיניש
Hebräisch	העברעיִש
Hebräisch	לשון־קודש
Javanisch	יאַוואַנעזיש
Jüdisch-Persisch	יידיש־פערסיש
Koreanisch	קאָרעיִש
Latein	לאטיין
Lettisch	לעטיש
Litauisch	ליטװיש
Mongolisch	מאָנגאָליש
Russisch	רוסיש
Sanskrit	סאַנסקריט
Serbisch	סערביש
Serbisch	סערביש
Sizilianisch	סיציליאַניש
suchen	זוכן
absuchen	זוכן
durchsuchen	זוכן
Tagalog	טאַגאַלאג
Thai	טײַלענדיש
Thailändisch	טײַלענדיש
Ungarisch	אונגאַריש
Tigrinisch	טיגריניאַ
Türke	טערקיש
finnisch	פֿיניש
Abdecker	היצעל
Hundefänger	היצעל
Abhilfe	אופֿן
Abhilfe	עצה
Mittel	אופֿן
Mittel	עצה
abnorm	אומנאָרמאַל
Abonnent	אַבאָנענט
Absatz	קנאַפֿל
Absatz	אָפּצאַס
achte	אַכט
Acker	פֿעלד
Feld	פֿעלד
Ader	אָדער
Blutgefäß	אָדער
Adressat	אַדרעסאַט
Empfänger	אַדרעסאַט
Adverb	אַדװערב
Adverb	אַדװערב
Umstandsword	אַדװערב
Afrika	אַפֿריקע
Afrika	אַפֿריקע
After	אַנוס
Anus	אַנוס
Ägypten	מצרים
Ägypten	מצרים
Ahnung	אידעע
Idee	אידעע
Akkord	a kord
Akkord	אַקאָרד
Albdruck	בײַזער חלום
Albtraum	בײַזער חלום
Alptraum	בײַזער חלום
Nachtmahr	בײַזער חלום
Algerien	אַלזשיר
all	אַלע
alle	אַלע
jede	אַלע
jeder	אַלע
jedes	אַלע
Alt	אַלט
Altstimme	אַלט
Alter	עלטער
Alter	זיקנה
Senilitas	עלטער
Senilitas	זיקנה
älterer Bruder	ברודער
Bruder	ברודער
Bundesbruder	ברודער
großer Bruder	ברודער
Amateur	ליבהאָבער
Amerikaner	אַמעריקאַנער
US-Amerikaner	אַמעריקאַנער
amerikanisch	אַמעריקאַניש
Amerikanismus	אַמעריקאַניזם
Amsterdam	אמסטערדאם
anbellen	טעלעפֿאָנירן
anklingeln	טעלעפֿאָנירן
anläuten	טעלעפֿאָנירן
anrufen	טעלעפֿאָנירן
telefonieren	טעלעפֿאָנירן
durchrufen	טעלעפֿאָנירן
antelefonieren	טעלעפֿאָנירן
aufringen	טעלעפֿאָנירן
anbimmeln	טעלעפֿאָנירן
Anfänger	אָנהייבער
Anfänger	אָנפֿאַנגער
Anfängerin	אָנהייבער
Anfängerin	אָנפֿאַנגער
Anfrage	פֿראַגע
Frage	פֿראַגע
anhaben	זיך אנטאן
tragen	זיך אנטאן
Antenne	אַנטענע
Appartement	וווינונג
Wohnung	וווינונג
Ära	טאָג
Epoche	טאָג
Zeitalter	טאָג
Arbeit	אַרבעט
Arbeitslosigkeit	אַרבעטסלאָזיקייט
Werklosigkeit	אַרבעטסלאָזיקייט
ärgern	דערקוטשען
quälen	דערקוטשען
Arkansas	ארקענסאו
Ärmelkanal	ענגלישע קאַנאַל
Armenier	אַרמענער
Asche	פּראָשיק
Pulver	פּראָשיק
Staub	פּראָשיק
Aserbaidschan	אַזערבײַדזשאַן
Athlet	גבֿר
Athlet	גיבור
Athlet	בעל־כּוח
Kraftmensch	גבֿר
Kraftmensch	גיבור
Kraftmensch	בעל־כּוח
aufbessern	פֿאַרבעסערן
aufbessern	אַמענדירן
aufbessern	בעסערן
bessern	פֿאַרבעסערן
bessern	אַמענדירן
bessern	בעסערן
verbessern	פֿאַרבעסערן
verbessern	אַמענדירן
verbessern	בעסערן
Augenbraue	ברעמ
ausmeißeln	שאַפֿן
ausmeißeln	אױסקלעפּן
ausmeißeln	אױסמאָדעלירן
skulptieren	שאַפֿן
skulptieren	אױסקלעפּן
skulptieren	אױסמאָדעלירן
Autokratie	סאַמאָדערזשאַוויע
Bacchanal	װאַקכאַנאַליע
Bagdad	באגדאד
Bahamas	באַהאַמאַס
Baku	באקו
Ballade	באַלאַד
Bangladesch	באַנגלאַדעש
Barmherzigkeit	רחמנות
Barmherzigkeit	דערבאַרעמען
Erbarmen	רחמנות
Erbarmen	דערבאַרעמען
Mitgefühl	רחמנות
Mitgefühl	דערבאַרעמען
Mitleid	רחמנות
Mitleid	דערבאַרעמען
Basketball	באסקעטבאל
Bauch	קישקע
Darm	קישקע
Dickdarm	קישקע
Eingeweide	קישקע
Inneres	קישקע
Kuttel	קישקע
Baum	בױם
Beete	בוריק
Beete	צוויק
Rübe	בוריק
Rübe	צוויק
Beetensuppe	באָרשט
Borschtsch	באָרשט
Rübensuppe	באָרשט
befehlen	באַפֿעלן
befehlen	הײסן
befinden	זײַן
begrenzt	ענג
eng	ענג
schmal	ענג
beinahe	כּמעט
fast	כּמעט
nahezu	כּמעט
beleidigen	טרעפֿן
kränken	טרעפֿן
beliebt	ליב
beliebt	באַליבט
Benin	בענין
Bereich	געגנט
Bereich	ראַיאָן
Bereich	קאַנט
Gebiet	געגנט
Gebiet	ראַיאָן
Gebiet	קאַנט
Region	געגנט
Region	ראַיאָן
Region	קאַנט
Berg	באַרג
Gebirge	באַרג
Bergmann	גרעבער
Berliner	פּאָנטשקע
Krapfen	פּאָנטשקע
Pfannkuchen	פּאָנטשקע
Donut	פּאָנטשקע
berühren	אָנרירן
berühren	פֿינגערן
berühren	טאַפּן
berühren	באַטאַפּן
berühren	באַרירן
berühren	נוגע זײַן
berühren	טשעפּן זיך
berühren	צורירן
beschäftigt	farnumen
Bestechung	מתּנת־יד
Bestechung	מתּן־בסתר
Bestechung	שוחד
Bestechung	חורש
Bestechung	טשאָפּיק
Bestechung	כאַבאַר
Bestechungsgeld	מתּנת־יד
Bestechungsgeld	מתּן־בסתר
Bestechungsgeld	שוחד
Bestechungsgeld	חורש
Bestechungsgeld	טשאָפּיק
Bestechungsgeld	כאַבאַר
Schmiergeld	מתּנת־יד
Schmiergeld	מתּן־בסתר
Schmiergeld	שוחד
Schmiergeld	חורש
Schmiergeld	טשאָפּיק
Schmiergeld	כאַבאַר
bezeichnen	אָנרופֿן
nennen	אָנרופֿן
taufen	אָנרופֿן
Bhutan	בהוטאַן
Bier	ביר
Bild	שירמע
Gemälde	שירמע
bitten	בעטן
blau	בלאָ
Blinse	בלינצע
Eierkuchen	בלינצע
Pfannkuchen	בלינצע
Plinse	בלינצע
Plins	בלינצע
Flins	בלינצע
Blutung	בלוטשטורץ
Böhmen	פיהם
bohren	בױערן
abbohren	בױערן
Bosnien	באָסניע
Bosnien und Herzegowina	באָסניע הערצעגאָװינע
Bosnien und Herzegowina	באסניע הערצעגאווינע
Botschaft	אַמבאַסאַדע
Botschaft	באָטשאַפֿט
Botsuana	באצוואַנע
Brand	פֿײַער
Feuer	פֿײַער
braun	ברױן
Bräutigam	חתן
Bräutigam	חתן
brennen	ברענען
flammen	ברענען
lodern	ברענען
anpflaumen	ברענען
Brot	ברױט
Brunei Darussalam	ברוניי
Buch	ספר
Buch	ספר
Buch	בוך
Bügeleisen	אײַזן
Bügeleisen	פּרעס
Bügeleisen	גלעט־אײַזן
Bukarest	בוקאַרעשט
Bukarest	בוקאַרעשט
Burkina Faso	בורקינע פֿאַסא
Calcium	קאַלציום
Californium	קאַליפֿאָרניום
chemisch	כעמיש
Chinese	כינעזער
Christenheit	קריסטנטום
Christentum	קריסטנטום
Computer	קאָמפּיוטער
Computer	רעכענער
Rechner	קאָמפּיוטער
Rechner	רעכענער
Computer	קאָמפּיוטער
Datenverarbeiter	קאָמפּיוטער
Digitalrechner	קאָמפּיוטער
Elektronenrechner	קאָמפּיוטער
Rechner	קאָמפּיוטער
Datenverarbeitungsanlage	קאָמפּיוטער
Datenprozessor	קאָמפּיוטער
Córdoba	קארדאבע
Cowboy	קאַובוי
Cowboy	קאַובאָי
da	מחמת
da	ווײַל
da	וואָרן
denn	מחמת
denn	ווײַל
denn	וואָרן
weil	מחמת
weil	ווײַל
weil	וואָרן
Dach	דאַך
Dänemark	דענמאַרק
Dänemark	דענמארק
David	דוד המלך
Deichsel	דישעל
dein	דײַן
deine	דײַן
Ihre	דײַן
Ihr	דײַן
Demokratie	דעמאקראטיע
demokratisch	דעמאָקראַטיש
denken	דענקען
denken	טראכטען
Deutschland	דייטשלאנד
Deutschland	דייטשלאַנד
Diamant	דימענט
Dieb	גנבֿ
Räuber	גנבֿ
Schächer	גנבֿ
Diele	פּאָדלאָגע
Diffamierung	רכילות
Diffamierung	בילבול
Diffamierung	באַריידערײַ
Verleumdung	רכילות
Verleumdung	בילבול
Verleumdung	באַריידערײַ
Diplom	דיפּלאָם
Dirne	קורווע
Dirne	זונה
Dirne	הור
Hure	קורווע
Hure	זונה
Hure	הור
Kurtisane	קורווע
Kurtisane	זונה
Kurtisane	הור
Nutte	קורווע
Nutte	זונה
Nutte	הור
Prostituierte	קורווע
Prostituierte	זונה
Prostituierte	הור
Schlampe	קורווע
Schlampe	זונה
Schlampe	הור
Freudenmädchen	קורווע
Freudenmädchen	זונה
Freudenmädchen	הור
Prostitutierte	קורווע
Prostitutierte	זונה
Prostitutierte	הור
Liebesdienerin	קורווע
Liebesdienerin	זונה
Liebesdienerin	הור
Diskrepanz	דיווערגענץ
Diskussion	diskusie
Dokument	דאָקומענט
Unterlagen	דאָקומענט
Dominica	דאמיניקע
Donnerstag	דאנערשטאג
doppelt	צוויייִק
doppelt	צווייענדיק
doppelt	טאָפּל
Drahtesel	ביציקל
Drahtesel	ביציקלעט
Drahtesel	וועלאָסיפּעד
Drahtesel	ראָווער
Fahrrad	ביציקל
Fahrrad	ביציקלעט
Fahrrad	וועלאָסיפּעד
Fahrrad	ראָווער
Rad	ביציקל
Rad	ביציקלעט
Rad	וועלאָסיפּעד
Rad	ראָווער
Velo	ביציקל
Velo	ביציקלעט
Velo	וועלאָסיפּעד
Velo	ראָווער
Dreistigkeit	chutzpah
Kühnheit	chutzpah
Mut	chutzpah
Vermessenheit	chutzpah
Verwegenheit	chutzpah
Wagemut	chutzpah
Drucker	דרוקער
du	דו
dümmlich	משוגע
leichtsinnig	משוגע
schwindelig	משוגע
strohdumm	משוגע
Dynamit	דינאַמיט
Eau de Cologne	אָדעקאָלאָן
Kölnischwasser	אָדעקאָלאָן
Kölnisch Wasser	אָדעקאָלאָן
Ebenheit	גלאַטקײַט
Glätte	גלאַטקײַט
Glattheit	גלאַטקײַט
Eden	הימל
Himmel	הימל
Paradies	הימל
egal	בילע
Ehefrau	פֿרוי
Ehefrau	ווײַב
Frau	פֿרוי
Frau	ווײַב
Gattin	פֿרוי
Gattin	ווײַב
Gemahlin	פֿרוי
Gemahlin	ווײַב
Weib	פֿרוי
Weib	ווײַב
Eheweib	פֿרוי
Eheweib	ווײַב
